index	dsets	type	clcount
CHEBI	5	establishedOnto	30251
NCIT	6	establishedOnto	6323
SNOMEDCT	2	establishedOnto	6271
PDB-OWL	4	establishedOnto	5086
PR	2	establishedOnto	3662
NDFRT	4	establishedOnto	3365
BMRB-OWL	1	establishedOnto	2957
EFO	5	establishedOnto	1576
ATC	1	establishedOnto	1297
http://jcggdb.jp/rdf/diseases/ggdonto-schema#	1	unpublishedVocab	901
http://mo-ld.org/mine_vocabulary:	1	unpublishedVocab	513
http://mo-ld.org/resource/	6	unpublishedVocab	500
http://nextprot.org/rdf#	1	unpublishedVocab	344
http://mo-ld.org/mine_type:	1	unpublishedVocab	338
NCBI TAXON	2	establishedOnto	324
Uniprot Core Ontology	4	establishedVocab	307
http://bio2rdf.org/clinicaltrials_vocabulary:	9	unpublishedVocab	201
BioPAX Level 3 ontology	12	establishedVocab	197
http://rdf.ebi.ac.uk/terms/chembl#	1	unpublishedVocab	166
Renewable Energy and Energy Efficiency	1	establishedVocab	161
http://bio2rdf.org/drugbank_vocabulary:	3	unpublishedVocab	158
http://bio2rdf.org/kegg_vocabulary:	5	unpublishedVocab	151
https://www.sbgenomics.com/ontologies/2014/11/tcga#	1	unpublishedVocab	142
SIO-CHEMINF	57	establishedOnto	136
http://linkedlifedata.com/resource/semanticnetwork/id/	2	unpublishedVocab	133
CL	2	establishedOnto	130
http://purl.uniprot.org/core/	1	unpublishedVocab	127
UBERON	1	establishedOnto	117
ORDO	1	establishedOnto	110
http://bio2rdf.org/obo_vocabulary:	10	unpublishedVocab	103
http://bio2rdf.org/omim_vocabulary:	6	unpublishedVocab	90
http://bio2rdf.org/sgd_vocabulary:	5	unpublishedVocab	89
http://jcggdb.jp/rdf/diseases/paconto-schema#	1	unpublishedVocab	86
http://bio2rdf.org/pharmgkb_vocabulary:	4	unpublishedVocab	84
LOINC	2	establishedOnto	80
http://rdf.ebi.ac.uk/terms/ensembl/	1	unpublishedVocab	75
http://purl.jp/bio/12/glyco/glycan#	1	unpublishedVocab	72
The OWL 2 Schema vocabulary	59	establishedVocab	67
http://bio2rdf.org/affymetrix_vocabulary:	1	unpublishedVocab	67
http://identifiers.org/biomodels.vocabulary#	1	unpublishedVocab	66
GO-OBO	11	establishedOnto	66
http://bio2rdf.org/refseq_vocabulary:	10	unpublishedVocab	65
http://linkedlifedata.com/resource/drugbank/drug/	1	unpublishedVocab	65
http://bio2rdf.org/pubmed_vocabulary:	17	unpublishedVocab	61
The Linked SPARQL Queries Vocabulary (LSQ(V))	1	establishedVocab	61
http://id.nlm.nih.gov/mesh/vocab#	1	unpublishedVocab	60
http://bio2rdf.org/wormbase_vocabulary:	3	unpublishedVocab	59
http://rdf.ebi.ac.uk/resource/ensembl/	1	unpublishedVocab	58
http://bio2rdf.org/ncbigene_vocabulary:	13	unpublishedVocab	58
http://bio2rdf.org/mesh_vocabulary:	5	unpublishedVocab	58
http://vocabularies.wikipathways.org/gpml#	1	unpublishedVocab	56
https://www.sbgenomics.com/ontologies/2016/5/ccle#	1	unpublishedVocab	55
PO	2	establishedOnto	51
http://purl.jp/bio/11/mbgd#	1	unpublishedVocab	49
IAO	8	establishedOnto	47
http://purl.jp/bio/101/opentggates/ontology/	1	unpublishedVocab	45
DCMI Metadata Terms	47	establishedVocab	44
http://www.glycoinfo.org/glyco/owl/wurcs#	1	unpublishedVocab	43
http://bio2rdf.org/mgi_vocabulary:	5	unpublishedVocab	42
http://linkedlifedata.com/resource/entrezgene/	1	unpublishedVocab	41
UO	4	establishedOnto	40
http://bio2rdf.org/mi:	11	unpublishedVocab	40
http://www.orphanet.org/rdfns#	1	unpublishedVocab	39
CMO	1	establishedOnto	39
http://purl.bioontology.org/ontology/MESH/	1	unpublishedVocab	37
http://bio2rdf.org/irefindex_vocabulary:	8	unpublishedVocab	36
http://www.bioassayontology.org/bao#	2	unpublishedVocab	36
http://bio2rdf.org/taxonomy_vocabulary:	53	unpublishedVocab	36
FMA	1	establishedOnto	36
http://bio2rdf.org/hgnc_vocabulary:	6	unpublishedVocab	36
http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#	1	unpublishedVocab	34
Schema.org vocabulary	5	establishedVocab	33
http://rdf.ebi.ac.uk/terms/atlas/	2	unpublishedVocab	33
http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/	1	unpublishedVocab	33
http://linkedlifedata.com/resource/clinicaltrials/study/	1	unpublishedVocab	32
SO	3	establishedOnto	32
http://bio2rdf.org/ndc_vocabulary:	3	unpublishedVocab	31
http://vocabularies.wikipathways.org/wp#	1	unpublishedVocab	30
Open Annotation Data Model	2	establishedVocab	30
The P-PLAN Ontology	2	establishedVocab	30
http://bio2rdf.org/interpro_vocabulary:	3	unpublishedVocab	30
http://idtype.identifiers.org/	1	unpublishedVocab	30
http://identifiers.org/	1	unpublishedVocab	30
http://bio2rdf.org/dbsnp_vocabulary:	4	unpublishedVocab	29
Simple Knowledge Organization System	23	establishedVocab	29
Provenance, Authoring and Versioning	14	establishedVocab	28
Semantically-Interlinked Online Communities	35	establishedVocab	27
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/	1	unpublishedVocab	27
http://bio2rdf.org/ctd_vocabulary:	12	unpublishedVocab	27
http://bio2rdf.org/linkedspls_vocabulary:	2	unpublishedVocab	27
Friend of a Friend vocabulary	20	establishedVocab	26
http://linkedlifedata.com/resource/clinicaltrials/	1	unpublishedVocab	26
The GoodRelations Ontology for Semantic Web-ba...	3	establishedVocab	25
W3C PROVenance Interchange	6	establishedVocab	25
UBPROP	4	establishedOnto	24
http://ddbj.nig.ac.jp/ontologies/taxonomy/	1	unpublishedVocab	23
http://linkedlifedata.com/resource/drugbank/molecule/	1	unpublishedVocab	23
http://linkedlifedata.com/resource/drugbank/	1	unpublishedVocab	23
http://linkedlifedata.com/resource/chembl/	1	unpublishedVocab	23
http://metadb.riken.jp/ontology/SSBD/	1	unpublishedVocab	22
http://bio2rdf.org/genage_vocabulary:	1	unpublishedVocab	21
SPARQL 1.1 Service Description	14	establishedVocab	20
http://purl.jp/bio/01/quanto/ontology/sos#	1	unpublishedVocab	20
http://bio2rdf.org/goa_vocabulary:	10	unpublishedVocab	19
OBI	4	establishedOnto	19
http://www.ncbi.nlm.nih.gov/mesh/	1	unpublishedVocab	18
http://www.glycoepitope.jp/epitopes/glycoepitope.owl#	1	unpublishedVocab	18
http://omim.org/entry/	1	unpublishedVocab	17
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/	2	unpublishedVocab	17
http://linkedlifedata.com/resource/chembl/target/	1	unpublishedVocab	17
http://purl.bioontology.org/ontology/ICD10CM/	1	unpublishedVocab	17
http://purl.jp/bio/01/refexo#	1	unpublishedVocab	17
Dublin Core Metadata Element Set	17	establishedVocab	17
The RDF Schema vocabulary	68	establishedVocab	17
Ontology for Biomedical Investigation	5	establishedVocab	17
http://purl.jp/bio/01/mccv#	1	unpublishedVocab	17
RO	5	establishedOnto	16
http://rdf.ebi.ac.uk/terms/biosd/	1	unpublishedVocab	16
http://linkedlifedata.com/resource/chembl/compound/	1	unpublishedVocab	16
MP	1	establishedOnto	16
http://linkedlifedata.com/resource/pubmed/	1	unpublishedVocab	15
http://linkedlifedata.com/resource/pdb/molecule/	1	unpublishedVocab	15
http://biohackathon.org/resource/faldo#	13	unpublishedVocab	15
http://bio2rdf.org/so:	3	unpublishedVocab	15
Vocabulary for Attaching Essential Metadata	1	establishedVocab	15
http://vocab.jst.go.jp/terms/sti#	1	unpublishedVocab	14
http://purl.org/net/nlprepository/spl-pharmgx-annotation-poc#	1	unpublishedVocab	14
http://edamontology.org/	2	unpublishedVocab	14
Data Provider Node ontology	1	establishedVocab	14
http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/vocab/resource/	1	unpublishedVocab	13
http://purl.jp/bio/11/orth#	1	unpublishedVocab	13
The RDF Concepts Vocabulary	56	establishedVocab	13
http://biomodels.net/biology-qualifiers#	1	unpublishedVocab	12
http://linkedlifedata.com/resource/pfam/family/	2	unpublishedVocab	12
EO	1	establishedOnto	12
http://linkedlifedata.com/resource/chembl/product/	1	unpublishedVocab	12
The Bibliographic Ontology	4	establishedVocab	12
BTO	2	establishedOnto	12
http://linkedlifedata.com/resource/chembl/literatureCitation/	1	unpublishedVocab	11
Semantic Web Rule Language	1	establishedVocab	10
http://linkedlifedata.com/resource/homologene/statistics/	1	unpublishedVocab	10
http://purl.org/net/drug-interaction-knowledge-base/DIKB_evidence_ontology.owl#	1	unpublishedVocab	10
http://linkedlifedata.com/resource/chembl/activity/	1	unpublishedVocab	10
http://bio2rdf.org/sider_vocabulary:	1	unpublishedVocab	9
BFO	2	establishedOnto	9
Data Catalog Vocabulary	7	establishedVocab	9
http://purl.jp/bio/01/famsbase/ontology/	1	unpublishedVocab	9
http://linkedlifedata.com/resource/pdb/structure/	1	unpublishedVocab	8
PATO	3	establishedOnto	8
http://linkedlifedata.com/resource/pdb/method/	1	unpublishedVocab	8
http://www.glytoucan.org/glyco/owl/glytoucan#	1	unpublishedVocab	8
http://bio2rdf.org/lsr_vocabulary:	1	unpublishedVocab	8
http://identifiers.org/idot/	2	unpublishedVocab	8
http://linkedlifedata.com/resource/clinicaltrials/outcome/	1	unpublishedVocab	8
GO	3	establishedOnto	8
http://edda.dbmi.pitt.edu/ontologies/StudyDesigns.owl#	1	unpublishedVocab	8
http://linkedlifedata.com/resource/pdb/	1	unpublishedVocab	8
http://linkedlifedata.com/resource/homologene/	1	unpublishedVocab	7
http://linkedlifedata.com/resource/clinicaltrials/result/	1	unpublishedVocab	7
http://linkedlifedata.com/resource/pfam/protein/	2	unpublishedVocab	7
http://linkedlifedata.com/resource/sider/drug/	1	unpublishedVocab	7
http://www.nanopub.org/nschema#	1	unpublishedVocab	7
http://prismstandard.org/namespaces/basic/2.0/	2	unpublishedVocab	7
http://jcggdb.jp/rdf/diseases/gmncbi-schema#	1	unpublishedVocab	7
http://linkedlifedata.com/resource/chembl/assay/	1	unpublishedVocab	7
http://bio2rdf.org/homologene_vocabulary:	1	unpublishedVocab	7
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/	1	unpublishedVocab	6
http://linkedlifedata.com/resource/assayTargetLink/	1	unpublishedVocab	6
http://purl.obolibrary.org/obo/uberon/core#	2	unpublishedVocab	6
http://linkedlifedata.com/resource/sider/	1	unpublishedVocab	6
http://dbmi-icode-01.dbmi.pitt.edu/dikb/vocab/resource/	1	unpublishedVocab	6
http://linkedlifedata.com/resource/homologene/group/	1	unpublishedVocab	6
http://icgc.link/	1	unpublishedVocab	6
http://linkedlifedata.com/resource/clinicaltrials/responsibleParty/	1	unpublishedVocab	6
http://linkedlifedata.com/resource/clinicaltrials/measure/	1	unpublishedVocab	6
http://insdc.org/owl/	1	unpublishedVocab	6
http://biohackathon.org/resource/	1	unpublishedVocab	6
nodeID://	1	unpublishedVocab	6
http://bio2rdf.org/bio2rdf_vocabulary:	26	unpublishedVocab	6
http://linkedlifedata.com/resource/clinicaltrials/measurement/	1	unpublishedVocab	5
Description of a Project vocabulary	2	establishedVocab	5
DIDEO	1	establishedOnto	5
http://ddbj.nig.ac.jp/ontologies/nucleotide/	1	unpublishedVocab	5
http://linkedlifedata.com/resource/chembl/compoundRecord/	1	unpublishedVocab	5
http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#	1	unpublishedVocab	5
http://www.openlinksw.com/schemas/virtrdf#	4	unpublishedVocab	5
A user interface ontology	1	establishedVocab	5
http://linkedlifedata.com/resource/homologene/commentary/	1	unpublishedVocab	5
http://linkedlifedata.com/resource/clinicaltrials/intervention/	1	unpublishedVocab	5
http://linkedlifedata.com/resource/drugbank/targetLink/	1	unpublishedVocab	5
ECO	1	establishedOnto	4
http://linkedlifedata.com/resource/clinicaltrials/location/	1	unpublishedVocab	4
http://biomodels.net/model-qualifiers#	1	unpublishedVocab	4
FRBR-aligned Bibliographic Ontology	2	establishedVocab	4
http://linkedlifedata.com/resource/clinicaltrials/primaryOutcome/	1	unpublishedVocab	4
http://vocabularies.bridgedb.org/ops#	2	unpublishedVocab	4
http://linkedlifedata.com/resource/clinicaltrials/contact/	1	unpublishedVocab	4
http://metadb.riken.jp/db/rikenbrc_jcm_microbe/	1	unpublishedVocab	4
http://linkedlifedata.com/resource/sider/sideEffect/	1	unpublishedVocab	4
SKOS eXtension for Labels	3	establishedVocab	4
http://linkedlifedata.com/resource/sider/label/	1	unpublishedVocab	4
http://linkedlifedata.com/resource/drugbank/enzymeLink/	1	unpublishedVocab	4
CiTO, the Citation Typing Ontology	5	establishedVocab	4
http://linkedlifedata.com/resource/drugbank/price/	1	unpublishedVocab	4
http://linkedlifedata.com/resource/drugbank/organism/	1	unpublishedVocab	4
http://linkedlifedata.com/resource/drugbank/transporterLink/	1	unpublishedVocab	4
Asset Description Metadata Schema	1	establishedVocab	4
http://www.w3.org/2001/vcard-rdf/3.0#	3	unpublishedVocab	4
http://linkedlifedata.com/resource/clinicaltrials/contactPoint/	1	unpublishedVocab	4
http://linkedlifedata.com/resource/pfam/	2	unpublishedVocab	4
http://linkedlifedata.com/resource/drugbank/carrierLink/	1	unpublishedVocab	4
http://ncicb.nci.nih.gov/xml/owl/EVS/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/drugbank/drugInteraction/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/sider/indication/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/pdb/depositionSummary/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/drugbank/dosage/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/pdb/dbReference/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/clinicaltrials/overallOfficial/	1	unpublishedVocab	3
Vocabulary Of Attribution and Governance	2	establishedVocab	3
http://linkedlifedata.com/resource/drugbank/taxonomy/	1	unpublishedVocab	3
http://metadb.riken.jp/db/brc_beta/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/umls/	1	unpublishedVocab	3
HP	3	establishedOnto	3
http://linkedlifedata.com/resource/sider/meddraSideEffect/	1	unpublishedVocab	3
VANN: A vocabulary for annotating vocabulary d...	2	establishedVocab	3
http://bioportal.bioontology.org/ontologies/umls/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/clinicaltrials/address/	1	unpublishedVocab	3
http://www4.wiwiss.fu-berlin.de/medicare/resource/medicare/	1	unpublishedVocab	3
An Ontology for vCards	1	establishedVocab	3
http://bio2rdf.org/clinicaltrials_vocabulary:clinicaltrials_vocabulary:	1	unpublishedVocab	3
http://linkedlifedata.com/resource/chembl/formulation/	1	unpublishedVocab	3
http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#	3	unpublishedVocab	3
http://www.ebi.ac.uk/cmpo/	1	unpublishedVocab	3
http://vocab.org/aiiso/schema#	1	unpublishedVocab	3
http://vocab.jst.go.jp/terms/vlist#	1	unpublishedVocab	3
http://linkedlifedata.com/resource/chembl/researchStem/	1	unpublishedVocab	3
http://linkedlifedata.com/resource/drugbank/patent/	1	unpublishedVocab	3
http://purl.org/net/nlprepository/ohdsi-pubmed-semmed-poc#	2	unpublishedVocab	2
http://linkedlifedata.com/resource/clinicaltrials/certainAgreement/	1	unpublishedVocab	2
http://purl.bioontology.org/ontology/RXNORM/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/rxnorm/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/drugbank/citation/	1	unpublishedVocab	2
http://purl.jp/bio/101/opentggates/Array/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/pfam/dbReference/	2	unpublishedVocab	2
http://linkedlifedata.com/resource/pfam/clan/	1	unpublishedVocab	2
Creative Commons Rights Expression Language	1	establishedVocab	2
http://linkedlifedata.com/resource/chembl/confidenceScore/	1	unpublishedVocab	2
http://purl.org/obo/owl/CL#	1	unpublishedVocab	2
CLO	2	establishedOnto	2
http://linkedlifedata.com/resource/drugbank/externalIdentifier/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/pdb/author/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/drugbank/externalLink/	1	unpublishedVocab	2
http://bio2rdf.org/apo:	1	unpublishedVocab	2
http://linkedlifedata.com/resource/drugbank/geneSequence/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/homologene/domain/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/clinicaltrials/group/	1	unpublishedVocab	2
http://linkedlifedata.com/resource/drugbank/mixture/	1	unpublishedVocab	2
http://jcggdb.jp/rdf/diseases/gdgdb-schema#	1	unpublishedVocab	2
